iter	Passed	Remaining
557	1096	868
558	1097	865
559	1099	863
560	1100	861
561	1103	859
562	1104	857
563	1106	855
564	1107	852
565	1110	851
566	1112	849
567	1113	847
568	1115	844
569	1118	844
570	1120	842
571	1123	840
572	1126	839
573	1128	837
574	1130	835
575	1133	834
576	1135	832
577	1136	829
578	1137	827
579	1140	825
580	1142	823
581	1143	821
582	1145	819
583	1148	818
584	1150	816
585	1152	813
586	1153	811
587	1155	809
588	1157	807
589	1159	805
590	1161	804
591	1165	802
592	1166	800
593	1170	799
594	1171	797
595	1173	795
596	1174	793
597	1178	792
598	1180	789
599	1181	787
600	1183	785
601	1186	784
602	1187	782
603	1189	779
604	1190	777
605	1192	775
606	1194	773
607	1196	771
608	1197	768
609	1200	767
610	1202	765
611	1204	763
612	1205	761
613	1208	759
614	1209	757
615	1211	755
616	1213	753
617	1215	751
618	1217	749
619	1219	747
620	1220	745
621	1223	743
622	1225	741
623	1227	739
624	1230	738
625	1232	736
626	1234	734
627	1235	731
628	1237	730
629	1239	727
630	1241	725
631	1243	723
632	1245	721
633	1247	719
634	1248	717
635	1249	715
636	1252	713
637	1253	711
638	1254	708
639	1256	706
640	1258	704
641	1260	702
642	1262	700
643	1264	698
644	1267	697
645	1269	695
646	1270	693
647	1272	691
648	1274	689
649	1276	687
650	1277	684
651	1278	682
652	1280	680
653	1282	678
654	1284	676
655	1285	674
656	1286	671
657	1288	669
658	1289	667
659	1291	665
660	1293	663
661	1295	661
662	1297	659
663	1298	657
664	1299	654
665	1300	652
666	1302	650
667	1304	648
668	1306	646
669	1307	643
670	1309	641
671	1311	640
672	1312	637
673	1314	635
674	1315	633
675	1316	631
676	1318	629
677	1320	626
678	1321	624
679	1323	622
680	1324	620
681	1326	618
682	1327	616
683	1329	614
684	1330	611
685	1333	610
686	1334	607
687	1335	605
688	1337	603
689	1339	601
690	1340	599
691	1342	597
692	1343	595
693	1345	593
694	1348	591
695	1349	589
696	1351	587
697	1352	585
698	1355	583
699	1357	581
700	1358	579
701	1360	577
702	1363	575
703	1364	573
704	1366	571
705	1367	569
706	1370	568
707	1372	566
708	1374	564
709	1375	561
710	1377	560
711	1379	557
712	1380	555
713	1382	553
714	1383	551
715	1385	549
716	1386	547
717	1388	545
718	1390	543
719	1392	541
720	1393	539
721	1395	537
722	1396	535
723	1398	533
724	1400	531
725	1401	529
726	1403	527
727	1404	524
728	1406	522
729	1408	520
730	1409	518
731	1410	516
732	1411	514
733	1413	512
734	1415	510
735	1416	508
736	1418	506
737	1419	504
738	1422	502
739	1423	500
740	1425	498
741	1426	495
742	1428	494
743	1429	492
744	1431	489
745	1432	487
746	1434	485
747	1436	484
748	1437	481
749	1439	479
750	1441	477
751	1443	475
752	1444	473
753	1446	471
754	1447	469
755	1449	467
756	1451	465
757	1452	463
758	1454	461
759	1455	459
760	1458	457
761	1459	455
762	1460	453
763	1463	451
764	1465	450
765	1467	448
766	1468	446
767	1470	444
768	1472	442
769	1473	440
770	1474	438
771	1476	436
772	1478	434
773	1480	432
774	1482	430
775	1483	428
776	1484	426
777	1486	424
778	1487	422
779	1489	420
780	1491	418
781	1492	416
782	1494	414
783	1496	412
784	1497	410
785	1498	408
786	1500	406
787	1502	404
788	1504	402
789	1505	400
790	1506	398
791	1508	396
792	1510	394
793	1512	392
794	1513	390
795	1514	388
796	1516	386
797	1518	384
798	1519	382
799	1520	380
800	1522	378
801	1524	376
802	1525	374
803	1526	372
804	1528	370
805	1529	368
806	1531	366
807	1533	364
808	1535	362
809	1536	360
810	1538	358
811	1539	356
812	1540	354
813	1542	352
814	1543	350
815	1545	348
816	1547	346
817	1549	344
818	1550	342
819	1553	340
820	1554	338
821	1556	336
822	1557	334
823	1558	332
824	1561	331
825	1563	329
826	1564	327
827	1566	325
828	1568	323
829	1569	321
830	1570	319
831	1572	317
832	1573	315
833	1576	313
834	1577	311
835	1579	309
836	1580	307
837	1583	306
838	1584	304
839	1586	302
840	1587	300
841	1589	298
842	1591	296
843	1593	294
844	1594	292
845	1596	290
846	1598	288
847	1600	286
848	1601	284
849	1603	282
850	1608	281
851	1610	279
852	1612	277
853	1614	275
854	1615	273
855	1616	271
856	1617	269
857	1620	268
858	1623	266
859	1625	264
860	1627	262
861	1629	260
862	1630	258
863	1631	256
864	1633	254
865	1635	253
866	1637	251
867	1637	249
868	1639	247
869	1640	245
870	1642	243
871	1644	241
872	1645	239
873	1647	237
874	1648	235
875	1650	233
876	1652	231
877	1654	229
878	1655	227
879	1658	226
880	1659	224
881	1660	222
882	1662	220
883	1664	218
884	1665	216
885	1667	214
886	1668	212
887	1670	210
888	1672	208
889	1673	206
890	1674	204
891	1676	202
892	1677	201
893	1680	199
894	1681	197
895	1682	195
896	1684	193
897	1685	191
898	1687	189
899	1689	187
900	1690	185
901	1692	183
902	1694	181
903	1695	180
904	1697	178
905	1698	176
906	1700	174
907	1702	172
908	1704	170
909	1705	168
910	1707	166
911	1709	164
912	1710	163
913	1712	161
914	1714	159
915	1716	157
916	1717	155
917	1718	153
918	1720	151
919	1721	149
920	1723	147
921	1725	145
922	1727	144
923	1728	142
924	1730	140
925	1732	138
926	1734	136
927	1735	134
928	1736	132
929	1738	130
930	1740	128
931	1741	127
932	1743	125
933	1744	123
934	1746	121
935	1748	119
936	1749	117
937	1750	115
938	1752	113
939	1754	112
940	1756	110
941	1757	108
942	1758	106
943	1760	104
944	1762	102
945	1763	100
946	1764	98
947	1766	96
948	1768	95
949	1769	93
950	1770	91
951	1772	89
952	1773	87
953	1775	85
954	1776	83
955	1778	81
956	1779	79
957	1780	78
958	1783	76
959	1784	74
960	1786	72
961	1787	70
962	1789	68
963	1791	66
964	1792	65
965	1794	63
966	1795	61
967	1798	59
968	1799	57
969	1801	55
970	1802	53
971	1803	51
972	1805	50
973	1807	48
974	1808	46
975	1810	44
976	1812	42
977	1814	40
978	1815	38
979	1816	37
980	1818	35
981	1820	33
982	1821	31
983	1823	29
984	1824	27
985	1826	25
986	1828	24
987	1829	22
988	1830	20
989	1832	18
990	1834	16
991	1836	14
992	1837	12
993	1839	11
994	1842	9
995	1843	7
996	1844	5
997	1845	3
998	1847	1
999	1849	0
